Nmax = 100000; Nmin = 2000; Nstep = (1 + i / 1000) * 100
|       size - N|vector time, ms|  list time, ms|   set time, ms|
|           2000|              1|              4|              1|
|           2300|              2|              5|              0|
|           2600|              3|              7|              0|
|           2900|              3|             10|              0|
|           3200|              4|             11|              0|
|           3600|              4|             15|              0|
|           4000|              6|             20|              1|
|           4500|              8|             27|              1|
|           5000|              8|             47|              1|
|           5600|             22|             48|              1|
|           6200|             12|             51|              1|
|           6900|             17|             66|              1|
|           7600|             23|             92|              1|
|           8400|             25|            114|              1|
|           9300|             29|            156|              2|
|          10300|             43|            224|              2|
|          11400|             58|            280|              2|
|          12600|             60|            357|              3|
|          13900|             89|            463|              3|
|          15300|             87|            569|              4|
|          16900|            115|            714|              3|
|          18600|            140|            881|              4|
|          20500|            157|           1044|              4|
|          22600|            165|           1266|              4|
|          24900|            198|           1600|              4|
|          27400|            240|           1997|              5|
|          30200|            296|           2503|              5|
|          33300|            524|           3119|              7|
|          36700|            438|           3948|              7|
|          40400|            532|           4841|              9|
|          44500|            650|           5970|             10|
|          49000|            835|           7492|             11|
|          54000|           1574|           9470|             12|
|          59500|           1185|          11764|             14|
|          65500|           2634|          14571|             15|
|          72100|           2212|          20006|             19|
|          79400|           3518|          23256|             18|
|          87400|           2842|          32125|             22|
|          96200|           4690|          42359|             25|
